App Name,Frequency of Use,Satisfaction Rating,What Do You Like Most?,Likelihood to Recommend,Fraud Concerns,App Improvement,Safe to Use,Data Handling,Unsolicited Messages,Comments/Suggestions
Facebook Messenger,Monthly,2,Speed/Performance,5,Frequent crashes or slow performance,Security,Yes,Yes,"No, never",No comments
Skype,Daily,1,Features,4,Unexplained data collection,Customer Support,Not Sure,Yes,"Yes, regularly",No comments
Netflix,Monthly,4,Design/UI,3,None,Customer Support,No,No,"No, never",No comments
Spotify,Monthly,4,Features,1,Inconsistent behavior across devices,User Interface,No,Yes,"No, never",No comments
Quizlet,Daily,3,Features,3,Inconsistent behavior across devices,Security,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Evernote,Monthly,4,Customer Support,1,Unexplained data collection,Features,Yes,Yes,"Yes, occasionally",No comments
Fitbit,Rarely,2,Features,4,Suspicious permissions request,Features,No,No,"Yes, occasionally",No comments
Hulu,Rarely,4,Design/UI,2,Frequent crashes or slow performance,Speed/Performance,No,Yes,"Yes, occasionally",No comments
YouTube,Monthly,5,Customer Support,1,Suspicious permissions request,Customer Support,Yes,Not Sure,"Yes, regularly",No comments
Fitbit,Weekly,4,Speed/Performance,4,Suspicious permissions request,Speed/Performance,No,No,"Yes, regularly",Suggestions for improvement
Calm,Daily,3,Ease of use,4,Frequent crashes or slow performance,User Interface,Not Sure,No,"Yes, occasionally",No comments
Hulu,Daily,1,Ease of use,1,None,User Interface,Not Sure,Yes,"Yes, occasionally",No comments
BBC News,Never,4,Speed/Performance,5,Unexplained data collection,Features,Not Sure,No,"No, never",Suggestions for improvement
Coursera,Rarely,2,Customer Support,1,Suspicious permissions request,Security,Yes,Yes,"No, never",Suggestions for improvement
Hulu,Daily,3,Customer Support,2,Suspicious permissions request,Bug Fixes,No,No,"Yes, regularly",No comments
Among Us,Daily,1,Speed/Performance,5,Suspicious permissions request,Speed/Performance,Not Sure,Not Sure,"No, never",Suggestions for improvement
Skype,Monthly,5,Features,4,Unexplained data collection,Features,No,No,"Yes, occasionally",No comments
PUBG Mobile,Daily,1,Features,4,Suspicious permissions request,Bug Fixes,Yes,Yes,"Yes, regularly",No comments
Quizlet,Monthly,1,Design/UI,3,Inconsistent behavior across devices,Security,Yes,No,"Yes, regularly",Suggestions for improvement
YouTube,Rarely,1,Features,3,None,Features,Yes,Yes,"No, never",No comments
Signal,Never,1,Ease of use,4,Inconsistent behavior across devices,Bug Fixes,Yes,Yes,"No, never",No comments
Clash of Clans,Weekly,3,Customer Support,1,Frequent crashes or slow performance,Bug Fixes,No,No,"No, never",No comments
Telegram,Rarely,1,Design/UI,2,Unexplained data collection,Customer Support,Not Sure,Yes,"No, never",Suggestions for improvement
Google News,Daily,2,Speed/Performance,1,Suspicious permissions request,Security,Yes,Not Sure,"No, never",No comments
PUBG Mobile,Never,5,Design/UI,4,Unexplained data collection,Speed/Performance,Yes,Yes,"Yes, regularly",Suggestions for improvement
Google News,Weekly,1,Speed/Performance,2,None,Speed/Performance,Yes,Yes,"Yes, regularly",No comments
Calm,Daily,3,Ease of use,1,Unexplained data collection,Security,Not Sure,Not Sure,"Yes, occasionally",No comments
BBC News,Never,3,Design/UI,4,None,User Interface,No,No,"Yes, occasionally",No comments
The New York Times,Daily,5,Design/UI,1,Frequent crashes or slow performance,Security,Yes,No,"No, never",No comments
The New York Times,Weekly,4,Speed/Performance,4,Inconsistent behavior across devices,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Flipboard,Daily,5,Customer Support,2,Suspicious permissions request,Security,Yes,Yes,"Yes, regularly",No comments
Instagram,Rarely,3,Speed/Performance,4,None,Customer Support,No,Not Sure,"No, never",No comments
Spotify,Weekly,2,Customer Support,4,Suspicious permissions request,Features,Not Sure,Yes,"Yes, occasionally",No comments
Calm,Monthly,5,Ease of use,1,Inconsistent behavior across devices,Customer Support,No,No,"Yes, regularly",No comments
Hulu,Daily,5,Customer Support,3,Inconsistent behavior across devices,Features,Yes,No,"Yes, occasionally",Suggestions for improvement
Candy Crush Saga,Never,1,Design/UI,3,Frequent crashes or slow performance,Customer Support,No,Not Sure,"No, never",Suggestions for improvement
Duolingo,Never,4,Features,1,Frequent crashes or slow performance,Speed/Performance,No,Not Sure,"Yes, regularly",No comments
Instagram,Daily,2,Speed/Performance,2,Inconsistent behavior across devices,Features,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Among Us,Monthly,3,Speed/Performance,1,Frequent crashes or slow performance,Features,Yes,Not Sure,"Yes, occasionally",No comments
MyFitnessPal,Weekly,4,Customer Support,4,None,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
PUBG Mobile,Daily,3,Ease of use,3,Frequent crashes or slow performance,Security,No,No,"Yes, regularly",Suggestions for improvement
Flipboard,Daily,1,Customer Support,5,Frequent crashes or slow performance,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",Suggestions for improvement
Hulu,Daily,5,Ease of use,5,Suspicious permissions request,Features,No,Yes,"Yes, regularly",Suggestions for improvement
Candy Crush Saga,Never,3,Speed/Performance,1,None,Bug Fixes,Yes,Not Sure,"No, never",No comments
Fortnite,Monthly,3,Customer Support,1,Suspicious permissions request,User Interface,No,Yes,"Yes, regularly",Suggestions for improvement
The New York Times,Rarely,1,Customer Support,3,Suspicious permissions request,Features,Not Sure,No,"Yes, occasionally",No comments
Khan Academy,Daily,1,Customer Support,4,Unexplained data collection,Speed/Performance,Not Sure,No,"Yes, regularly",Suggestions for improvement
Calm,Rarely,3,Design/UI,5,Suspicious permissions request,User Interface,No,No,"Yes, occasionally",No comments
Facebook Messenger,Monthly,1,Speed/Performance,5,Unexplained data collection,Features,Not Sure,Yes,"Yes, regularly",No comments
Quizlet,Never,4,Design/UI,5,Suspicious permissions request,Speed/Performance,Not Sure,No,"No, never",No comments
Netflix,Weekly,5,Design/UI,5,Unexplained data collection,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
Trello,Never,3,Speed/Performance,2,Unexplained data collection,Customer Support,Yes,Not Sure,"No, never",No comments
YouTube,Rarely,2,Design/UI,2,Unexplained data collection,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",No comments
Duolingo,Rarely,1,Features,3,Frequent crashes or slow performance,Bug Fixes,Not Sure,No,"Yes, regularly",No comments
Candy Crush Saga,Monthly,2,Design/UI,5,Suspicious permissions request,Bug Fixes,Not Sure,No,"Yes, occasionally",No comments
Trello,Never,3,Customer Support,1,Inconsistent behavior across devices,Features,Yes,Not Sure,"No, never",Suggestions for improvement
YouTube,Never,3,Customer Support,1,None,Security,No,No,"Yes, occasionally",No comments
Fitbit,Daily,1,Customer Support,1,Suspicious permissions request,Bug Fixes,No,No,"Yes, regularly",No comments
Disney+,Daily,2,Customer Support,1,Suspicious permissions request,Features,No,Not Sure,"Yes, regularly",No comments
Duolingo,Never,2,Features,3,Inconsistent behavior across devices,User Interface,Yes,No,"Yes, regularly",Suggestions for improvement
Khan Academy,Monthly,1,Features,2,Unexplained data collection,Features,No,No,"No, never",Suggestions for improvement
PUBG Mobile,Never,5,Ease of use,5,Suspicious permissions request,User Interface,Yes,No,"Yes, occasionally",No comments
Snapchat,Rarely,1,Ease of use,2,None,Features,No,Yes,"No, never",No comments
Google News,Never,1,Speed/Performance,1,Suspicious permissions request,Features,Yes,Not Sure,"Yes, regularly",Suggestions for improvement
Fitbit,Monthly,2,Customer Support,2,Unexplained data collection,Features,No,No,"Yes, occasionally",No comments
Strava,Rarely,4,Features,2,Suspicious permissions request,Customer Support,No,Yes,"Yes, occasionally",No comments
MyFitnessPal,Monthly,3,Customer Support,1,Unexplained data collection,Security,No,No,"No, never",No comments
Among Us,Weekly,5,Customer Support,5,Suspicious permissions request,Bug Fixes,Yes,Not Sure,"No, never",Suggestions for improvement
Spotify,Rarely,3,Features,1,Frequent crashes or slow performance,User Interface,Not Sure,No,"Yes, regularly",No comments
YouTube,Weekly,5,Ease of use,2,Inconsistent behavior across devices,Customer Support,Not Sure,Yes,"No, never",No comments
Hulu,Rarely,1,Design/UI,1,None,Customer Support,Yes,No,"Yes, regularly",No comments
Twitter,Rarely,3,Ease of use,2,Inconsistent behavior across devices,Customer Support,Yes,Yes,"Yes, regularly",No comments
Quizlet,Daily,4,Speed/Performance,5,Suspicious permissions request,Bug Fixes,Yes,Not Sure,"No, never",Suggestions for improvement
Trello,Monthly,5,Features,4,Unexplained data collection,User Interface,Not Sure,Not Sure,"Yes, regularly",Suggestions for improvement
Fortnite,Weekly,2,Features,5,Frequent crashes or slow performance,Bug Fixes,No,Not Sure,"Yes, regularly",No comments
Duolingo,Daily,5,Features,3,Suspicious permissions request,Security,Not Sure,No,"Yes, occasionally",Suggestions for improvement
The New York Times,Rarely,3,Ease of use,2,Suspicious permissions request,User Interface,No,No,"No, never",No comments
Telegram,Never,3,Speed/Performance,5,Unexplained data collection,Security,Not Sure,No,"Yes, occasionally",No comments
Fortnite,Rarely,4,Speed/Performance,4,Unexplained data collection,Security,Not Sure,No,"Yes, occasionally",No comments
Fitbit,Weekly,4,Ease of use,2,Inconsistent behavior across devices,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Headspace,Rarely,3,Design/UI,4,Frequent crashes or slow performance,Customer Support,Not Sure,No,"No, never",No comments
Signal,Daily,3,Features,3,Suspicious permissions request,Security,No,Not Sure,"No, never",No comments
WhatsApp,Never,4,Customer Support,2,Suspicious permissions request,Features,Not Sure,Yes,"Yes, occasionally",No comments
Slack,Daily,4,Speed/Performance,1,Inconsistent behavior across devices,Security,Yes,Not Sure,"Yes, regularly",No comments
PUBG Mobile,Rarely,2,Ease of use,1,Suspicious permissions request,Speed/Performance,Yes,Yes,"Yes, occasionally",No comments
Facebook,Daily,2,Ease of use,5,None,Bug Fixes,Yes,Not Sure,"No, never",No comments
Google Docs,Never,5,Customer Support,2,Frequent crashes or slow performance,User Interface,Not Sure,Not Sure,"Yes, occasionally",No comments
The New York Times,Monthly,2,Customer Support,5,Unexplained data collection,Security,Not Sure,Not Sure,"Yes, regularly",No comments
Coursera,Rarely,4,Customer Support,2,Unexplained data collection,Customer Support,No,Yes,"No, never",No comments
Trello,Daily,2,Ease of use,4,Unexplained data collection,Bug Fixes,Yes,Not Sure,"No, never",No comments
Facebook,Daily,2,Features,5,None,User Interface,Not Sure,Yes,"Yes, regularly",No comments
Facebook,Daily,5,Speed/Performance,5,Unexplained data collection,Bug Fixes,Yes,Yes,"Yes, occasionally",No comments
Among Us,Daily,4,Customer Support,1,Unexplained data collection,Security,Not Sure,No,"No, never",No comments
CNN,Daily,1,Customer Support,4,Inconsistent behavior across devices,Security,No,Yes,"Yes, occasionally",No comments
Signal,Never,1,Design/UI,2,Frequent crashes or slow performance,Security,Yes,Yes,"No, never",No comments
Quizlet,Monthly,3,Features,1,Inconsistent behavior across devices,Bug Fixes,Yes,No,"Yes, regularly",No comments
Google Docs,Rarely,1,Design/UI,2,Unexplained data collection,Customer Support,Yes,No,"Yes, regularly",No comments
Khan Academy,Never,1,Features,3,Frequent crashes or slow performance,User Interface,No,Not Sure,"Yes, occasionally",No comments
Flipboard,Weekly,3,Customer Support,2,Frequent crashes or slow performance,Bug Fixes,Not Sure,Not Sure,"Yes, occasionally",No comments
Flipboard,Daily,3,Design/UI,1,Suspicious permissions request,Bug Fixes,Yes,No,"Yes, occasionally",No comments
Among Us,Never,4,Ease of use,5,Suspicious permissions request,Bug Fixes,Not Sure,No,"No, never",Suggestions for improvement
Facebook Messenger,Rarely,4,Design/UI,2,Suspicious permissions request,Security,No,Not Sure,"Yes, occasionally",No comments
Strava,Weekly,1,Customer Support,2,Unexplained data collection,Speed/Performance,Yes,Not Sure,"Yes, occasionally",No comments
Signal,Monthly,2,Customer Support,5,Inconsistent behavior across devices,Customer Support,Yes,Not Sure,"No, never",Suggestions for improvement
Fitbit,Weekly,5,Features,3,Unexplained data collection,Customer Support,Not Sure,Yes,"Yes, occasionally",No comments
Flipboard,Monthly,2,Customer Support,2,Frequent crashes or slow performance,Bug Fixes,No,No,"Yes, regularly",No comments
Pinterest,Rarely,3,Design/UI,3,Unexplained data collection,Security,Not Sure,Yes,"Yes, occasionally",No comments
Khan Academy,Daily,4,Customer Support,5,Inconsistent behavior across devices,Bug Fixes,No,Yes,"Yes, occasionally",No comments
Google Docs,Monthly,4,Design/UI,5,Unexplained data collection,Features,Not Sure,No,"Yes, regularly",No comments
Google News,Weekly,2,Design/UI,3,Suspicious permissions request,User Interface,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Slack,Rarely,3,Customer Support,1,None,Speed/Performance,Not Sure,Not Sure,"No, never",No comments
Twitter,Weekly,3,Ease of use,5,Unexplained data collection,Bug Fixes,Yes,No,"Yes, occasionally",No comments
Evernote,Monthly,3,Ease of use,5,Suspicious permissions request,Bug Fixes,Not Sure,Yes,"Yes, regularly",No comments
Slack,Never,4,Customer Support,5,Unexplained data collection,Speed/Performance,No,Yes,"Yes, occasionally",No comments
The New York Times,Weekly,1,Ease of use,2,None,Speed/Performance,No,No,"No, never",Suggestions for improvement
Disney+,Rarely,1,Customer Support,5,Frequent crashes or slow performance,Bug Fixes,No,Not Sure,"No, never",Suggestions for improvement
Instagram,Weekly,1,Design/UI,3,Unexplained data collection,Security,Not Sure,Yes,"No, never",No comments
Slack,Weekly,3,Ease of use,4,Inconsistent behavior across devices,Bug Fixes,No,No,"Yes, occasionally",No comments
Coursera,Monthly,4,Customer Support,4,Frequent crashes or slow performance,Features,Not Sure,No,"Yes, regularly",No comments
Trello,Never,1,Ease of use,2,Inconsistent behavior across devices,Features,Not Sure,Not Sure,"Yes, occasionally",No comments
Netflix,Daily,4,Customer Support,1,Frequent crashes or slow performance,Customer Support,Not Sure,No,"Yes, occasionally",No comments
Fortnite,Rarely,4,Design/UI,1,Suspicious permissions request,Features,Yes,Not Sure,"Yes, regularly",No comments
Fitbit,Rarely,2,Speed/Performance,2,Unexplained data collection,Customer Support,Yes,No,"Yes, occasionally",No comments
Netflix,Daily,1,Features,5,Frequent crashes or slow performance,Security,Not Sure,Yes,"Yes, occasionally",No comments
Google News,Rarely,3,Design/UI,2,None,Security,Not Sure,No,"No, never",Suggestions for improvement
Google News,Monthly,3,Customer Support,4,Suspicious permissions request,Speed/Performance,Not Sure,Not Sure,"Yes, regularly",No comments
Twitter,Weekly,1,Customer Support,1,Unexplained data collection,Features,No,No,"Yes, regularly",Suggestions for improvement
Telegram,Rarely,4,Customer Support,3,Frequent crashes or slow performance,Bug Fixes,Yes,Not Sure,"Yes, occasionally",No comments
Skype,Weekly,5,Speed/Performance,2,Frequent crashes or slow performance,Features,Not Sure,No,"No, never",No comments
Telegram,Daily,3,Features,3,Inconsistent behavior across devices,Speed/Performance,Not Sure,Yes,"No, never",No comments
Google Docs,Rarely,3,Ease of use,3,Suspicious permissions request,Bug Fixes,Not Sure,No,"No, never",Suggestions for improvement
MyFitnessPal,Rarely,4,Features,1,Inconsistent behavior across devices,User Interface,Not Sure,Not Sure,"Yes, occasionally",No comments
Evernote,Daily,4,Design/UI,5,Unexplained data collection,Features,Not Sure,No,"No, never",No comments
Skype,Never,1,Speed/Performance,5,Unexplained data collection,Speed/Performance,No,Yes,"Yes, regularly",No comments
Facebook Messenger,Monthly,5,Customer Support,3,None,User Interface,Yes,No,"Yes, regularly",No comments
Candy Crush Saga,Daily,3,Features,4,Suspicious permissions request,User Interface,Not Sure,Yes,"No, never",No comments
Twitter,Rarely,4,Customer Support,2,Inconsistent behavior across devices,User Interface,Yes,Yes,"Yes, regularly",No comments
Telegram,Weekly,4,Customer Support,2,Unexplained data collection,Features,Yes,Not Sure,"No, never",No comments
Twitter,Rarely,4,Customer Support,2,None,Security,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Slack,Never,4,Ease of use,4,Inconsistent behavior across devices,Features,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Spotify,Weekly,5,Speed/Performance,3,Frequent crashes or slow performance,Security,No,Not Sure,"Yes, occasionally",Suggestions for improvement
Twitter,Never,4,Design/UI,3,Frequent crashes or slow performance,User Interface,No,Not Sure,"No, never",No comments
Twitter,Never,2,Design/UI,2,Inconsistent behavior across devices,Speed/Performance,No,Not Sure,"Yes, regularly",No comments
Twitter,Rarely,1,Speed/Performance,2,Unexplained data collection,Speed/Performance,Yes,No,"No, never",No comments
WhatsApp,Rarely,5,Speed/Performance,3,Inconsistent behavior across devices,User Interface,Not Sure,No,"No, never",No comments
Clash of Clans,Rarely,5,Ease of use,1,Inconsistent behavior across devices,Customer Support,No,Not Sure,"Yes, occasionally",No comments
BBC News,Never,5,Speed/Performance,5,Inconsistent behavior across devices,Features,Yes,Not Sure,"No, never",Suggestions for improvement
Fitbit,Rarely,1,Customer Support,1,None,Bug Fixes,No,Yes,"Yes, regularly",Suggestions for improvement
Netflix,Daily,1,Ease of use,4,Inconsistent behavior across devices,User Interface,Yes,Yes,"No, never",No comments
YouTube,Never,2,Ease of use,3,None,User Interface,Yes,Not Sure,"No, never",No comments
Strava,Monthly,2,Speed/Performance,4,None,Features,Yes,Yes,"Yes, occasionally",No comments
Fitbit,Rarely,3,Customer Support,3,None,Bug Fixes,Yes,Yes,"Yes, regularly",Suggestions for improvement
Khan Academy,Monthly,2,Speed/Performance,3,Frequent crashes or slow performance,Speed/Performance,Yes,Yes,"No, never",No comments
Hulu,Monthly,2,Speed/Performance,1,None,Features,Not Sure,Yes,"No, never",No comments
Calm,Daily,2,Customer Support,2,Suspicious permissions request,Features,No,No,"Yes, regularly",No comments
Strava,Daily,2,Ease of use,2,Frequent crashes or slow performance,Features,No,Not Sure,"Yes, regularly",No comments
Twitter,Rarely,1,Design/UI,5,Frequent crashes or slow performance,Security,Yes,No,"Yes, regularly",No comments
Among Us,Rarely,4,Customer Support,3,Unexplained data collection,Speed/Performance,Not Sure,No,"Yes, regularly",No comments
Flipboard,Never,4,Ease of use,2,Frequent crashes or slow performance,Features,Yes,Not Sure,"Yes, regularly",No comments
Facebook Messenger,Weekly,4,Features,3,None,Speed/Performance,No,Not Sure,"No, never",No comments
Slack,Never,5,Features,2,Frequent crashes or slow performance,Customer Support,Yes,Yes,"Yes, regularly",Suggestions for improvement
Facebook Messenger,Monthly,2,Features,3,None,Features,Yes,No,"No, never",No comments
Skype,Monthly,4,Features,3,Frequent crashes or slow performance,Speed/Performance,Not Sure,Yes,"No, never",No comments
Telegram,Rarely,1,Design/UI,5,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, occasionally",Suggestions for improvement
Clash of Clans,Weekly,3,Speed/Performance,1,Unexplained data collection,Features,No,No,"Yes, occasionally",No comments
Signal,Rarely,5,Speed/Performance,2,None,Features,Yes,No,"Yes, occasionally",No comments
MyFitnessPal,Monthly,4,Customer Support,5,Frequent crashes or slow performance,Features,Not Sure,Yes,"No, never",Suggestions for improvement
Flipboard,Weekly,4,Ease of use,1,None,Speed/Performance,Not Sure,No,"No, never",No comments
MyFitnessPal,Monthly,4,Customer Support,2,Frequent crashes or slow performance,Security,Not Sure,Yes,"Yes, occasionally",Suggestions for improvement
PUBG Mobile,Never,2,Ease of use,2,None,Customer Support,Not Sure,Yes,"Yes, occasionally",No comments
Skype,Weekly,3,Ease of use,2,Unexplained data collection,Speed/Performance,Yes,No,"Yes, regularly",No comments
Netflix,Rarely,5,Ease of use,3,None,User Interface,Not Sure,No,"Yes, occasionally",No comments
CNN,Rarely,2,Design/UI,3,None,Security,No,No,"No, never",No comments
PUBG Mobile,Monthly,1,Features,4,Suspicious permissions request,Bug Fixes,Not Sure,No,"Yes, occasionally",Suggestions for improvement
Duolingo,Monthly,1,Ease of use,3,Frequent crashes or slow performance,Security,Yes,Not Sure,"Yes, regularly",No comments
Trello,Monthly,2,Features,2,None,Security,No,No,"No, never",No comments
Calm,Never,2,Features,5,None,Features,Not Sure,Not Sure,"No, never",No comments
WhatsApp,Monthly,1,Speed/Performance,5,None,Features,No,Not Sure,"Yes, regularly",No comments
Flipboard,Monthly,2,Features,3,Unexplained data collection,Customer Support,Not Sure,Not Sure,"Yes, occasionally",Suggestions for improvement
MyFitnessPal,Rarely,1,Speed/Performance,2,Frequent crashes or slow performance,Speed/Performance,Yes,Not Sure,"No, never",Suggestions for improvement
Duolingo,Monthly,4,Design/UI,1,Unexplained data collection,Features,No,Yes,"No, never",Suggestions for improvement
Evernote,Daily,3,Speed/Performance,1,None,Customer Support,No,Yes,"No, never",Suggestions for improvement
Duolingo,Monthly,2,Ease of use,3,Suspicious permissions request,Speed/Performance,No,Yes,"Yes, occasionally",No comments
Duolingo,Rarely,3,Features,4,Inconsistent behavior across devices,Customer Support,No,Yes,"Yes, occasionally",No comments
Google News,Weekly,5,Features,1,Unexplained data collection,User Interface,Not Sure,No,"Yes, occasionally",No comments
Microsoft Word,Daily,2,Ease of use,3,Suspicious permissions request,Customer Support,No,Yes,"No, never",No comments
Evernote,Rarely,5,Customer Support,1,Frequent crashes or slow performance,Features,No,Yes,"Yes, occasionally",No comments
Candy Crush Saga,Daily,5,Ease of use,3,Inconsistent behavior across devices,Features,Not Sure,Yes,"Yes, occasionally",No comments
Fitbit,Monthly,4,Ease of use,1,Inconsistent behavior across devices,Security,Not Sure,Yes,"Yes, regularly",No comments
Instagram,Daily,5,Ease of use,2,Inconsistent behavior across devices,User Interface,Not Sure,Yes,"No, never",No comments
Google News,Daily,5,Design/UI,5,Frequent crashes or slow performance,Security,No,No,"No, never",Suggestions for improvement
Khan Academy,Weekly,5,Ease of use,1,Inconsistent behavior across devices,Speed/Performance,No,Yes,"No, never",No comments
Netflix,Never,5,Design/UI,5,Frequent crashes or slow performance,Speed/Performance,No,Not Sure,"Yes, regularly",Suggestions for improvement
MyFitnessPal,Daily,3,Speed/Performance,3,None,Features,No,Not Sure,"Yes, occasionally",No comments
Hulu,Rarely,2,Features,1,Suspicious permissions request,Bug Fixes,No,Not Sure,"Yes, occasionally",No comments
Instagram,Weekly,5,Features,1,None,Customer Support,Yes,No,"Yes, occasionally",No comments
Twitter,Monthly,4,Design/UI,3,Suspicious permissions request,Customer Support,No,No,"No, never",No comments
Fitbit,Never,2,Customer Support,4,Inconsistent behavior across devices,Bug Fixes,Yes,Yes,"No, never",No comments
Snapchat,Never,2,Speed/Performance,5,Inconsistent behavior across devices,Features,No,Yes,"Yes, occasionally",No comments
Disney+,Rarely,5,Design/UI,4,Inconsistent behavior across devices,Customer Support,Not Sure,Yes,"No, never",No comments
Twitter,Daily,1,Customer Support,5,None,Customer Support,Not Sure,Yes,"Yes, regularly",No comments
MyFitnessPal,Daily,5,Customer Support,2,Inconsistent behavior across devices,Customer Support,Not Sure,Not Sure,"No, never",No comments
Facebook Messenger,Never,2,Ease of use,4,Unexplained data collection,User Interface,No,No,"No, never",No comments
The New York Times,Never,3,Customer Support,1,Frequent crashes or slow performance,Speed/Performance,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Fortnite,Weekly,1,Design/UI,3,None,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Google Docs,Daily,1,Speed/Performance,4,Frequent crashes or slow performance,User Interface,Yes,No,"Yes, regularly",No comments
Khan Academy,Rarely,2,Design/UI,4,Inconsistent behavior across devices,Features,Not Sure,Not Sure,"Yes, regularly",No comments
Pinterest,Monthly,2,Speed/Performance,4,Unexplained data collection,Customer Support,No,Yes,"No, never",Suggestions for improvement
Google Docs,Rarely,2,Design/UI,2,Frequent crashes or slow performance,Security,Yes,No,"Yes, regularly",Suggestions for improvement
Disney+,Rarely,2,Design/UI,1,Frequent crashes or slow performance,Bug Fixes,Yes,Yes,"No, never",No comments
Hulu,Rarely,2,Customer Support,4,Frequent crashes or slow performance,User Interface,Yes,No,"No, never",No comments
Google Docs,Monthly,3,Features,4,Unexplained data collection,Customer Support,Not Sure,Yes,"Yes, regularly",No comments
Coursera,Never,5,Features,5,Inconsistent behavior across devices,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
Headspace,Monthly,1,Ease of use,3,Unexplained data collection,Speed/Performance,No,Yes,"No, never",No comments
Microsoft Word,Monthly,1,Customer Support,3,Suspicious permissions request,User Interface,No,Not Sure,"Yes, occasionally",No comments
YouTube,Rarely,1,Customer Support,3,Suspicious permissions request,Speed/Performance,No,Yes,"No, never",No comments
Twitter,Never,2,Features,1,Suspicious permissions request,Features,Yes,No,"No, never",No comments
Instagram,Rarely,5,Features,1,Unexplained data collection,Customer Support,No,Not Sure,"No, never",No comments
Fitbit,Monthly,2,Design/UI,3,Frequent crashes or slow performance,Security,Yes,Yes,"Yes, occasionally",Suggestions for improvement
CNN,Monthly,4,Design/UI,2,Inconsistent behavior across devices,Bug Fixes,Yes,Yes,"Yes, regularly",No comments
The New York Times,Daily,1,Speed/Performance,1,Inconsistent behavior across devices,Features,Not Sure,Yes,"Yes, regularly",No comments
Fortnite,Rarely,1,Design/UI,4,Unexplained data collection,Speed/Performance,Not Sure,Not Sure,"No, never",No comments
Fitbit,Rarely,1,Design/UI,1,None,Security,No,No,"No, never",No comments
Trello,Weekly,3,Ease of use,5,Suspicious permissions request,Features,Yes,Not Sure,"Yes, occasionally",No comments
Headspace,Rarely,4,Design/UI,1,None,Security,Yes,No,"Yes, occasionally",No comments
Google News,Daily,1,Customer Support,4,Unexplained data collection,Bug Fixes,No,No,"Yes, regularly",No comments
Calm,Daily,3,Ease of use,5,Unexplained data collection,Speed/Performance,No,Yes,"Yes, occasionally",No comments
Slack,Never,1,Speed/Performance,2,Suspicious permissions request,Customer Support,No,Not Sure,"No, never",No comments
Fortnite,Rarely,2,Design/UI,1,Inconsistent behavior across devices,User Interface,No,Not Sure,"Yes, regularly",No comments
Disney+,Never,3,Speed/Performance,5,Inconsistent behavior across devices,Speed/Performance,Not Sure,Yes,"No, never",Suggestions for improvement
Twitter,Monthly,5,Ease of use,2,Unexplained data collection,Features,Not Sure,Not Sure,"Yes, regularly",Suggestions for improvement
The New York Times,Daily,4,Speed/Performance,4,Suspicious permissions request,Security,Not Sure,No,"Yes, regularly",No comments
Pinterest,Never,4,Design/UI,3,Suspicious permissions request,Security,Not Sure,Yes,"Yes, regularly",Suggestions for improvement
Quizlet,Monthly,2,Ease of use,1,None,Security,No,No,"Yes, occasionally",No comments
Among Us,Rarely,1,Features,5,None,Security,Yes,Not Sure,"Yes, regularly",No comments
Telegram,Weekly,4,Features,3,Suspicious permissions request,Features,Not Sure,Not Sure,"Yes, occasionally",No comments
Disney+,Monthly,4,Customer Support,1,Suspicious permissions request,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
Snapchat,Rarely,4,Customer Support,3,Suspicious permissions request,User Interface,Not Sure,Not Sure,"Yes, regularly",No comments
Microsoft Word,Never,5,Customer Support,4,Unexplained data collection,Bug Fixes,Not Sure,Yes,"Yes, occasionally",No comments
Duolingo,Daily,3,Ease of use,3,Unexplained data collection,Bug Fixes,Not Sure,Not Sure,"Yes, regularly",No comments
Strava,Daily,2,Speed/Performance,1,Unexplained data collection,Security,No,No,"Yes, regularly",No comments
Google News,Monthly,1,Features,4,Unexplained data collection,Speed/Performance,Not Sure,Not Sure,"Yes, regularly",No comments
Telegram,Monthly,5,Ease of use,3,None,Speed/Performance,Not Sure,No,"No, never",Suggestions for improvement
Coursera,Daily,2,Speed/Performance,1,None,Speed/Performance,Not Sure,Yes,"Yes, regularly",No comments
PUBG Mobile,Rarely,3,Customer Support,2,Suspicious permissions request,User Interface,Yes,Not Sure,"Yes, regularly",No comments
Spotify,Never,2,Features,3,None,Bug Fixes,Yes,Not Sure,"No, never",No comments
Disney+,Never,1,Customer Support,2,Inconsistent behavior across devices,Security,Yes,Yes,"Yes, occasionally",Suggestions for improvement
Hulu,Monthly,2,Speed/Performance,3,Unexplained data collection,Bug Fixes,No,No,"Yes, regularly",No comments
